DATE;1YEAR;2YEAR;5YEAR;10YEAR
30.09.1987;1.04139670000000;1.84984010000000;3.07893690000000;3.93864380000001
31.10.1987;0.705088600000002;1.25143240000000;2.33479910000000;2.73860220000000
30.11.1987;0.00489329999999910;-0.232826899999996;0.333494999999999;0.665238899999995
31.12.1987;-0.862518199999999;-1.48240280000000;-1.37249090000000;-1.70416930000000
31.01.1988;-1.28856370000000;-2.37221219999999;-2.95836760000000;-3.84654590000000
29.02.1988;-1.92276220000000;-3.49943380000000;-4.50594500000000;-5.95580190000000
31.03.1988;-1.93308890000000;-3.30562440000000;-3.79758170000000;-4.72528790000000
30.04.1988;-1.06886910000000;-1.45197060000000;-1.66180920000000;-1.62268820000000
31.05.1988;-0.409133200000000;0.117762399999996;0.520295299999996;1.21182780000000
30.06.1988;0.103844299999999;0.774713100000000;1.63736640000000;2.21264240000000
31.07.1988;1.02865120000000;2.49878840000000;3.43370050000000;5.29427499999999
31.08.1988;0.553245699999998;1.30107720000000;1.71141060000000;3.02516300000000
30.09.1988;0.259259999999999;0.525654200000005;0.857541499999996;1.44246440000001
31.10.1988;0.524271000000000;0.948656300000002;1.50515850000000;2.04656050000001
30.11.1988;1.22456870000000;2.19580530000000;3.52419750000000;4.39166950000000
31.12.1988;1.21665830000000;2.57060930000000;3.71241040000000;4.94929500000000
31.01.1989;0.853646199999997;1.47811970000000;2.14241560000000;2.25714970000000
28.02.1989;1.25247760000000;1.81629260000000;2.89166150000000;2.76063160000000
31.03.1989;1.18037220000000;1.79733340000000;2.36946090000000;2.82068770000000
30.04.1989;0.445498200000001;0.472999099999997;0.322318599999997;-0.0493998000000051
31.05.1989;0.151489600000000;0.516264499999998;0.514849800000004;0.360150200000000
30.06.1989;-0.243542399999998;-0.479591700000000;-0.704797199999998;-0.636959800000000
31.07.1989;-0.499059699999999;-0.804699099999997;-1.42438690000000;-2.15995150000000
31.08.1989;0.322157399999998;0.366540099999996;0.0442686999999964;-0.874217600000009
30.09.1989;0.698544199999999;0.836879100000001;0.588300400000000;-0.249954599999993
31.10.1989;0.257334600000001;0.320581100000001;-0.0615665000000041;-0.951684000000003
